,a,b,c,no,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,imageLink,death,live
0,0,0,0,0,1,0,0,0.054,0.946,0.439331619537,-0.305927994791,1,0.0417029014151,122.0,172.0,0.759143945348,0.44331963001,0.0391946183313,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,1,1,0.605351170569,0,Viserys_II_Targaryen.jpeg,0.92,0.08
1,1,1,1,1,2,1,0,0.387,0.613,0.446529562982,0.274224676965,1,0.221190080902,208.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.283864337102,0.656060078821,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.896321070234,1,Walder_Frey.jpeg,0.51,0.49
2,2,2,2,2,3,1,0,0.493,0.507,-0.496915167095,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.16470709147,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.267558528428,1,no_image.jpg,0.26,0.74
3,3,3,3,3,4,0,0,0.076,0.924,-0.489203084833,0.43834681437,0,0.0417029014151,82.0,105.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.558150051387,0.88046952764,0,0,0,0,0,,,,0.0,1,1,23.0,0,0,0,0.183946488294,0,no_image.jpg,0.22,0.78
4,4,4,4,4,5,1,1,0.617,0.383,0.35706940874,-0.0425692161647,0,-0.368553508841,276.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.0875642343268,0.222989212679,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.0434782608696,1,no_image.jpg,0.23,0.77
5,5,5,5,5,6,1,0,0.021,0.979,0.389974293059,-0.305927994791,1,0.0417029014151,291.0,,0.406202768877,0.84331963001,0.721012800149,0.370421377184,-0.0722863778718,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,1,Tommen_Baratheon.jpeg,0.87,0.13
6,6,6,6,6,7,0,0,0.014,0.986,0.431105398458,-0.0273020405922,1,0.375036234748,183.0,209.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,0.415902598506,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,1,0.43143812709,0,Valarr_Targaryen.jpeg,0.36,0.64
7,7,7,7,7,8,0,0,0.036,0.964,0.43881748072,-0.305927994791,1,0.0417029014151,77.0,129.0,0.112085121819,0.34331963001,0.857376436513,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,0.678929765886,0,Viserys_I_Targaryen.jpeg,0.84,0.16
8,8,8,8,8,9,0,1,0.724,0.276,0.467095115681,0.526133073912,1,0.0417029014151,,298.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,1,,0,0,0,0.0066889632107,0,no_image.jpg,0.23,0.77
9,9,9,9,9,10,1,0,0.391,0.609,0.467609254499,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.00184994861254,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0200668896321,1,no_image.jpg,0.25,0.75
10,10,10,10,10,11,0,0,0.167,0.833,0.468123393316,-0.305927994791,1,0.0417029014151,,297.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879598662,0,Will.jpeg,0.24,0.76
11,11,11,11,11,12,1,1,0.985,0.015,0.469665809769,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.16,0.84
12,12,12,12,12,13,1,1,0.813,0.187,0.470179948586,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.22,0.78
13,13,13,13,13,14,1,1,0.747,0.253,0.468637532134,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.00184994861254,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.15,0.85
14,14,14,14,14,15,1,1,0.705,0.295,0.469151670951,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.00184994861254,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.22,0.78
15,15,15,15,15,16,1,1,0.996,0.004,0.470694087404,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.169578622816,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,0.21,0.79
16,16,16,16,16,17,1,1,0.984,0.016,0.471208226221,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,0.24,0.76
17,17,17,17,17,18,1,1,0.604,0.396,0.476349614396,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.28470709147,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0200668896321,1,no_image.jpg,0.25,0.75
18,18,18,18,18,19,1,1,0.998,0.002,0.477377892031,-0.290660819218,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,0.17,0.83
19,19,19,19,19,20,1,1,0.922,0.078,0.478920308483,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.16470709147,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,0.22,0.78
20,20,20,20,20,21,1,1,0.974,0.026,0.478406169666,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.273278520041,-0.0722863778718,1,0,0,1,0,,,,,0,1,,0,0,0,0.0200668896321,1,no_image.jpg,0.25,0.75
21,21,21,21,21,22,1,0,0.022,0.978,0.477892030848,0.526133073912,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.309578622816,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712375,1,no_image.jpg,0.16,0.84
22,22,22,22,22,23,1,1,0.768,0.232,0.479434447301,-0.305927994791,0,0.0417029014151,289.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.601007194245,-0.0722863778718,0,0,0,1,0,,,,,0,0,16.0,0,0,0,0.0334448160535,1,no_image.jpg,0.18,0.82
23,23,23,23,23,24,1,1,0.561,0.439,0.480462724936,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,1,,0,0,0,0.0,1,no_image.jpg,0.25,0.75
24,24,24,24,24,25,1,1,0.936,0.064,0.480976863753,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.258992805755,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,0.22,0.78
25,25,25,25,25,26,0,0,0.217,0.783,0.479948586118,-0.305927994791,0,-0.317271457559,,300.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240803,0,no_image.jpg,0.15,0.85
26,26,26,26,26,27,0,0,0.193,0.807,0.481491002571,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344482,0,no_image.jpg,0.22,0.78
27,27,27,27,27,28,1,1,0.71,0.29,0.482005141388,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,-0.0722863778718,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712375,1,no_image.jpg,0.21,0.79
28,28,28,28,28,29,1,1,0.809,0.191,0.484061696658,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,0.16,0.84
